idJugada,descripcion_limpia
217,SUB FOR N'Diaye
218,MISS Turnaround Finger Roll
219,Putback Reverse Dunk
220,Jump Bank Shot
221,Jump Tip to McClellan
222,MISS Slam Dunk
223,Shooting Block Foul
224,Tip Dunk Shot
225,Cutting Layup Shot
226,Kanter Alley Oop Dunk
227,Running Layup
228,3PT Turnaround Bank Hook Shot
229,Alley Oop Dunk
230,Jump Shot
231,MISS Running Reverse Layup
232,Putback Dunk
233,Violation Delay Of Game
234,zhi Dunk
235,Palming Turnover
236,MISS Reverse Slam Dunk
237,McKinney Foul
238,zhi Bad Pass Turnover
239,Ejection Second Flagrant Type 1
240,McClellan Driving Finger Roll Layup
241,Pendergraph Out of Bounds Lost Turnover
242,Slam Dunk
243,Traveling Turnover
244,MISS zhi Driving Layup
245,Bad Pass Turnover
246,Finger Roll
247,MISS Tip Shot
248,MISS 3PT Driving Finger Roll
249,Seung Jin Jump Shot
250,3PT Step Back Jump Shot
251,MISS No Shot
252,Backcourt Turnover
253,Pendergraph Slam Dunk
254,Pullup Jump Shot
255,SUB FOR Renfroe
256,MISS Running Dunk
257,Ejection Other
258,zhi Free Throw
259,MISS zhi Hook Shot
260,Offensive Goaltending Turnover
261,zhi FOUL
262,FLAGRANT TYPE2
263,MISS 3PT Jump Bank Shot
264,MISS 3PT Running Bank Shot
265,zhi Violation Lane
266,MISS 3PT Hook Bank Shot
267,MISS Driving Reverse Dunk Shot
268,Pendergraph Driving Slam Dunk
269,3PT Fadeaway Jumper
270,MISS Running Bank Shot
271,Cutting Dunk Shot
272,Jump Tip to zhi
273,Swinging Elbows Turnover
274,Jump zhi Tip to
275,MISS Putback Reverse Dunk
276,Running Pull Up Jump Shot
277,SUB Hersek FOR
278,MISS Cutting Finger Roll Layup Shot
279,Seung Jin Out of Bounds Lost Turnover
280,zhi Foul Turnover
281,3PT Turnaround Fadeaway Bank Jump Shot
282,Driving Dunk
283,zhi Tip Shot
284,Kanter Slam Dunk
285,MISS Finger Roll Layup
286,MISS Driving Floating Jump Shot
287,MISS Putback Dunk
288,FOUL
289,Kanter Cutting Dunk Shot
290,Kanter Violation Lane
291,3PT Jump Bank Shot
292,Free Throw Flagrant
293,MISS Running Reverse Dunk Shot
294,McClellan 3PT Jump Shot
295,Driving Reverse Layup
296,Jump Violation
297,Lane Violation Turnover
298,3PT Layup
299,Kanter FLAGRANT TYPE1
300,MISS Jump Hook Shot
301,Running Finger Roll
302,SUB McKinney FOR
303,Jump Seung Jin Tip to
304,Kanter Running Finger Roll Layup
305,Double Dribble Turnover
306,MISS Fadeaway Jumper
307,Taunting
308,Player Out of Bounds Violation Turnover
309,MISS Driving Bank Hook Shot
310,Fadeaway Jumper
311,MISS 3PT Turnaround Hook Shot
312,MISS Alley Oop Dunk
313,McClellan Lost Turnover
314,No Turnover
315,Putback Layup
316,MISS Running Finger Roll Layup
317,Dunk
318,8 Second Violation Turnover
319,Tip Shot
320,3PT Pullup Bank Shot
321,MISS Step Back Bank Jump Shot
322,zhi Running Hook Shot
323,MISS Turnaround Bank Hook Shot
324,Offensive Charge Foul
325,BLOCK
326,Ejection
327,McKinney Free Throw
328,Jump Violation Turnover
329,Punched Turnover
330,SUB FOR Kanter
331,zhi STEAL
332,MISS 3PT Shot
333,Driving Finger Roll Layup
334,Pendergraph Alley Oop Dunk
335,Kanter Lost Turnover
336,MISS Dunk
337,McClellan Driving Reverse Layup
338,SUB Yue FOR
339,SUB Yurtseven FOR
340,Jump Bank Hook Shot
341,Kanter Running Layup
342,zhi Foul
343,zhi Running Jump Shot
344,Jump
345,Jump Pendergraph Tip to
346,Personal Take Foul
347,3PT Driving Floating Bank Jump Shot
348,MISS 3PT Tip Shot
349,MISS 3PT Turnaround Fadeaway Shot
350,3PT Jump Shot
351,MISS 3PT Jump Shot
352,SUB Maciulis FOR
353,MISS Running Tip Shot
354,Violation Jump
355,Free Throw
356,McKinney Jump Shot
357,Turnaround Fadeaway
358,Turnaround Finger Roll
359,Driving Bank Shot
360,MISS 3PT Driving Jump Shot
361,SUB McRay FOR
362,MISS Fadeaway Bank Shot
363,MISS Running Hook Shot
364,zhi Driving Layup
365,MISS Driving Reverse Layup
366,MISS Layup BLOCK
367,Out Of Bounds Turnover
368,zhi Lost Turnover
369,Kanter Driving Hook Shot
370,MISS Cutting Dunk Shot
371,McClellan Layup
372,Post Up Turnover
373,3PT No Shot
374,MISS 3PT Floating Jump Shot
375,SUB Yuezhuo FOR
376,Shot Clock Turnover
377,Cutting Finger Roll Layup Shot
378,MISS Tip Layup Shot
379,MISS zhi Fadeaway Jumper
380,zhi 3PT Jump Shot
381,MISS 3PT Running Hook Shot
382,zhi Slam Dunk
383,3 Second Violation Turnover
384,MISS Driving Layup
385,MISS Tip Dunk Shot
386,Violation Defensive Goaltending
387,MISS Floating Jump Shot
388,MISS Jump Shot
